fiscal_year,ssa,person_orcid,first_name,middle_name,last_name,proposal_role,affiliation_uei,affiliation_name,factor1_assessment,factor2_assessment,factor3_assessment,factor4_assessment,person_overall_assessment,multiple_mitigation,mitigation_explanation_person,mitigation_strategy_proposal,mitigation_explanation_proposal,proposal_number,opportunity_number,proposal_title,submitting_entity_uei,submitting_entity_name,review_type,reviewing_component,reviewing_subcomponent,assessment_state,approved_date,review_notes,mitigation_status,award_type,award_state,fain,awarded_date,award_pop_start,award_pop_end,proposal_files,person_files,review_files
2023,SSA-innovation,2086-8415-7667-4413,Peter,,Anderson,Co-PI,4K0AW4066EK0,Virtucon,Prohibited Factors,No Mitigation Needed,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,"Cessation, Increased Reporting",,,,85794245,OPP-192898,Configurable value-added system engine Project,S16GSAX4CIDY,Globex Inc,Mitigation Annual Review,INSCOM,I2O,Completed,5/3/2021 14:47,,Not Needed,Grant,Awarded,FAIN9426185,6/7/2025 5:20,,,proposal_85794245.pdf,person_Anderson.pdf,review_85794245.docx
2025,SSA-deployment,4341-5122-4935-6753,John,,Williams,Collaborator,1317BRU1K5HM,Blue Sun Corp,Mitigation Measures Required,No Mitigation Needed,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,"Cessation, Increased Reporting",solutions deployment optimization optimization integration deployment analysis optimization research strategy research synergy research integration.,,,7344374,OPP-528543,Cloned scalable matrix Project,S16GSAX4CIDY,Globex Inc,Mitigation Annual Review,DARPA,DSO,Canceled,4/8/2025 19:02,,Pending,Other,In Negotiation,,11/19/2021 23:11,12/23/2025 12:33,11/25/2021 18:34,proposal_07344374.pdf,person_Williams.pdf,
2025,SSA-deployment,5749-8762-3111-8896,Michael,,Brown,Co-PI,1317BRU1K5HM,Blue Sun Corp,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,Mitigation Measures Required,Mitigation Measures Required,Threat Briefs,,,,7344374,OPP-528543,Cloned scalable matrix Project,S16GSAX4CIDY,Globex Inc,Mitigation Annual Review,DARPA,DSO,Canceled,4/8/2025 19:02,,Pending,Other,In Negotiation,,11/19/2021 23:11,12/23/2025 12:33,11/25/2021 18:34,proposal_07344374.pdf,person_Brown.pdf,
2023,SSA-analysis,8300-2363-5827-8407,Jane,Susan,Williams,Co-PI,EB3Q82NDH2ZA,MomCorp,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,No Mitigation Needed,No Mitigation Needed,Threat Briefs,strategy strategy analysis development optimization deployment innovation solutions deployment integration.,,,17370382,OPP-382653,Configurable value-added system engine Project,4K0AW4066EK0,Virtucon,Initial,DARPA,CDMRP,Draft,10/11/2020 4:43,cbpMLEXg XJxdlUkCoXSktbRepLafm CxnRezNPIEKIPcBkzvOxbirkhuGYWhdKHSjWdYzMvbDnGLnDJpqBWPADIKYzhoMzxinyQgUVqdPuUBFvrjWJintWBMxNjDZPjMbHgtahSKMzelwnKhsASytSWMiwbTgfqvIxwRXNGBnbTjkDLPtZlElQVwJzhG fTHhtEADEK,Complete,Other Transaction Authority,Pending,,2/20/2025 13:21,,7/1/2021 1:58,proposal_17370382.pdf,,review_17370382.docx
2023,SSA-synergy,9524-6512-3656-5410,Robert,David,Moore,Co-PI,S16GSAX4CIDY,Globex Inc,Prohibited Factors,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,,analysis research innovation solutions innovation integration research research analysis strategy strategy research optimization deployment.,"Cessation, Increased Reporting",development optimization innovation integration innovation strategy.,21657714,OPP-345958,Compatible demand-driven workforce Project,EB3Q82NDH2ZA,MomCorp,Mitigation Annual Review,NGA,CDMRP,In Progress,12/20/2021 2:14,AjqnlVbvpQWnztoFaOCEjNbodIADqQqBTxfkLhxAxgMTLSezZlljhwHIRBIlrGjYvzyOOzKOApOOfWNSaxzUoiHLgMIC ,Complete,CRADA,Declined,,9/17/2020 4:27,,6/4/2020 9:01,proposal_21657714.pdf,,
2023,SSA-synergy,8300-2363-5827-8407,Jane,,Williams,Collaborator,S16GSAX4CIDY,Globex Inc,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,"Cessation, Increased Reporting",deployment integration innovation innovation integration innovation solutions solutions analysis innovation synergy analysis strategy optimization synergy.,"Cessation, Increased Reporting",development optimization innovation integration innovation strategy.,21657714,OPP-345958,Compatible demand-driven workforce Project,EB3Q82NDH2ZA,MomCorp,Mitigation Annual Review,NGA,CDMRP,In Progress,12/20/2021 2:14,AjqnlVbvpQWnztoFaOCEjNbodIADqQqBTxfkLhxAxgMTLSezZlljhwHIRBIlrGjYvzyOOzKOApOOfWNSaxzUoiHLgMIC ,Complete,CRADA,Declined,,9/17/2020 4:27,,6/4/2020 9:01,proposal_21657714.pdf,,
2023,SSA-synergy,1139-8650-9589-5613,Patricia,,Smith,PI,7AVPXZBO7E8F,Globex Inc,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,No Mitigation Needed,No Mitigation Needed,"Cessation, Increased Reporting",synergy innovation development analysis strategy innovation strategy innovation strategy solutions optimization solutions development research.,"Cessation, Increased Reporting",development optimization innovation integration innovation strategy.,21657714,OPP-345958,Compatible demand-driven workforce Project,EB3Q82NDH2ZA,MomCorp,Mitigation Annual Review,NGA,CDMRP,In Progress,12/20/2021 2:14,AjqnlVbvpQWnztoFaOCEjNbodIADqQqBTxfkLhxAxgMTLSezZlljhwHIRBIlrGjYvzyOOzKOApOOfWNSaxzUoiHLgMIC ,Complete,CRADA,Declined,,9/17/2020 4:27,,6/4/2020 9:01,proposal_21657714.pdf,person_Smith.pdf,
2023,SSA-synergy,1320-9747-9272-5744,Michael,Peter,Wilson,Collaborator,DNZXLW6P6NNM,Virtucon,Prohibited Factors,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,"Cessation, Increased Reporting",optimization innovation innovation development strategy integration innovation integration deployment strategy development.,"Cessation, Increased Reporting",development optimization innovation integration innovation strategy.,21657714,OPP-345958,Compatible demand-driven workforce Project,EB3Q82NDH2ZA,MomCorp,Mitigation Annual Review,NGA,CDMRP,In Progress,12/20/2021 2:14,AjqnlVbvpQWnztoFaOCEjNbodIADqQqBTxfkLhxAxgMTLSezZlljhwHIRBIlrGjYvzyOOzKOApOOfWNSaxzUoiHLgMIC ,Complete,CRADA,Declined,,9/17/2020 4:27,,6/4/2020 9:01,proposal_21657714.pdf,person_Wilson.pdf,
2023,SSA-synergy,4341-5122-4935-6753,John,,Williams,Student,8JK40Q30BVHV,Cyberdyne Systems,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,Prohibited Factors,Threat Briefs,integration deployment analysis solutions research research synergy research solutions integration deployment.,"Cessation, Increased Reporting",development optimization innovation integration innovation strategy.,21657714,OPP-345958,Compatible demand-driven workforce Project,EB3Q82NDH2ZA,MomCorp,Mitigation Annual Review,NGA,CDMRP,In Progress,12/20/2021 2:14,AjqnlVbvpQWnztoFaOCEjNbodIADqQqBTxfkLhxAxgMTLSezZlljhwHIRBIlrGjYvzyOOzKOApOOfWNSaxzUoiHLgMIC ,Complete,CRADA,Declined,,9/17/2020 4:27,,6/4/2020 9:01,proposal_21657714.pdf,,
2024,SSA-optimization,2104-2178-8021-8947,David,,Taylor,PI,4K0AW4066EK0,Virtucon,Mitigation Measures Required,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Threat Briefs,,"Cessation, Increased Reporting",,38938501,OPP-718434,Cloned scalable matrix Project,4K0AW4066EK0,Virtucon,Mitigation Annual Review,USA,MSO,Completed,5/27/2021 22:39,ZvKUKMeeYBISxzEssXOEtsvLWvsKjjYvfyd fKKSTpnmvWTmQKPENbvYOnlUtcm HL,Not Needed,CRADA,Awarded,FAIN1914099,,4/7/2020 23:47,,proposal_38938501.pdf,,
